,car,count
0,,19781
1,CC,710
2,Model3,587
3,智行,479
4,帝豪,352
5,ModelS,339
6,蔚来ES8,330
7,小鹏G3,271
8,优胜,241
9,卡罗拉,231
10,ModelX,222
11,哈弗H6,216
12,高尔夫,205
13,威马EX5,204
14,Apollo,186
15,朗逸,185
16,轩逸,184
17,Pilot,183
18,瑞虎,181
19,帕萨特,176
20,雷凌,167
21,博越,162
22,风云,161
23,途观,161
24,风光,160
25,逸动,160
26,凯美瑞,156
27,哈弗F7,153
28,炮,150
29,比亚迪唐,146
30,雅阁,145
31,帝豪GS,143
32,捷达,141
33,比亚迪元,139
34,观致,139
35,远景,137
36,秦Pro,135
37,嘉际,134
38,奥迪A6,131
39,思域,129
40,宝马5系,127
41,宝来,127
42,夏利,127
43,欧拉R1,127
44,比亚迪宋,126
45,荣威RX5,126
46,速腾,125
47,博瑞,123
48,几何A,120
49,迈腾,119
50,福克斯,118
51,XL,117
52,奥迪e-tron,117
53,缤越,115
54,领克01,114
55,宝马3系,114
56,Vision,111
57,Cross,110
58,揽胜,109
59,哪吒N01,109
60,宋MAX,108
61,奥迪A4,105
62,领克02,104
63,领克03,103
64,iQ,103
65,C-HR,100
66,长安CS75,98
67,蔚来ES6,98
68,雅特,98
69,风景,98
70,途观L,97
71,阳光,94
72,VV7,93
73,江淮iEV,91
74,北汽新能源EU,91
75,荣威Ei5,91
76,奇骏,90
77,知豆,90
78,帝豪GL,90
79,奥迪A6L,89
80,LITE,89
81,ModelY,88
82,比亚迪秦,88
83,Taycan,88
84,欧拉iQ,87
85,理想ONE,87
86,奥德赛,86
87,菲斯塔,85
88,奥迪A8,85
89,宝马X5,85
90,北汽新能源EX,84
91,奔驰EQC,84
92,Panamera,83
93,索纳塔,83
94,飞驰,82
95,Hybrid,82
96,汉兰达,81
97,腾势,81
98,五菱宏光,80
99,VV6,80
100,FCV,79
101,魁,77
102,天籁,77
103,星越,76
104,宝马X3,76
105,亚洲龙,76
106,传祺GS4,75
107,探岳,74
108,逍客,74
109,零跑S01,74
110,风尚,74
111,Wind,73
112,领动,72
113,缤瑞,72
114,缤智,69
115,奥迪A4L,69
116,王子,69
